date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-28,all,unknown,11,3522,NA,NA,NA,9.43,NA,44,52.46,40.95,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-29,all,fully_vaccinated,1,161,1839839,0.05,NA,1.86,0.1,4.55,2.39,9.42,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-29,all,partially_vaccinated,0,162,1241076,0,NA,0.57,0.05,0,2.4,2.37,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-29,all,not_vaccinated,12,2882,5628440,0.21,NA,10.71,0.19,54.55,42.79,49.39,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-29,all,unknown,9,3531,NA,NA,NA,8.43,NA,40.91,52.42,38.83,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-30,all,fully_vaccinated,3,164,1850825,0.16,NA,1.86,0.1,23.08,2.43,9.42,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-30,all,partially_vaccinated,0,162,1244196,0,NA,0.57,0.05,0,2.4,2.92,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-30,all,not_vaccinated,6,2888,5614334,0.11,NA,9.29,0.17,46.15,42.79,47.19,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-30,all,unknown,4,3535,NA,NA,NA,8,NA,30.77,52.38,40.47,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-31,all,fully_vaccinated,3,167,1900788,0.16,NA,1.57,0.08,14.29,2.47,8.54,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-31,all,partially_vaccinated,1,163,1239985,0.08,NA,0.29,0.02,4.76,2.41,1.78,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-31,all,not_vaccinated,4,2892,5568582,0.07,NA,9.14,0.16,19.05,42.72,49.84,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-31,all,unknown,13,3548,NA,NA,NA,7.57,NA,61.9,52.41,39.83,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-01,all,fully_vaccinated,0,167,1955692,0,NA,1.57,0.08,0,2.46,8.54,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-01,all,partially_vaccinated,0,163,1241556,0,NA,0.29,0.02,0,2.4,1.78,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-01,all,not_vaccinated,13,2905,5512107,0.24,NA,10,0.18,68.42,42.79,53.27,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-01,all,unknown,6,3554,NA,NA,NA,6.71,NA,31.58,52.35,36.41,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-02,all,fully_vaccinated,0,167,2011029,0,NA,1.57,0.08,0,2.46,8.99,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-02,all,partially_vaccinated,1,164,1246321,0.08,NA,0.57,0.05,7.69,2.41,3.98,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-02,all,not_vaccinated,6,2911,5452005,0.11,NA,9.43,0.17,46.15,42.8,54.27,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-02,all,unknown,6,3560,NA,NA,NA,5.71,NA,46.15,52.34,32.76,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-03,all,fully_vaccinated,1,168,2060966,0.05,NA,1.14,0.06,5.88,2.46,5.69,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-03,all,partially_vaccinated,0,164,1252773,0,NA,0.71,0.06,0,2.41,5.07,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-03,all,not_vaccinated,12,2923,5395616,0.22,NA,9.43,0.17,70.59,42.87,54.27,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
